DriverNumber,GridPosition,Position,ClassifiedPosition,Status,Points,Round,Season,EventName,Winner
55,3.0,2.0,2,Finished,18.0,24,2024,Abu Dhabi Grand Prix,0
16,19.0,3.0,3,Finished,15.0,24,2024,Abu Dhabi Grand Prix,0
44,16.0,4.0,4,Finished,12.0,24,2024,Abu Dhabi Grand Prix,0
63,6.0,5.0,5,Finished,10.0,24,2024,Abu Dhabi Grand Prix,0
1,4.0,6.0,6,Finished,8.0,24,2024,Abu Dhabi Grand Prix,0
10,5.0,7.0,7,Finished,6.0,24,2024,Abu Dhabi Grand Prix,0
27,7.0,8.0,8,Finished,4.0,24,2024,Abu Dhabi Grand Prix,0
14,8.0,9.0,9,Finished,2.0,24,2024,Abu Dhabi Grand Prix,0
81,2.0,10.0,10,Finished,1.0,24,2024,Abu Dhabi Grand Prix,0
23,18.0,11.0,11,Lapped,0.0,24,2024,Abu Dhabi Grand Prix,0
22,11.0,12.0,12,Lapped,0.0,24,2024,Abu Dhabi Grand Prix,0
24,15.0,13.0,13,Lapped,0.0,24,2024,Abu Dhabi Grand Prix,0
18,13.0,14.0,14,Lapped,0.0,24,2024,Abu Dhabi Grand Prix,0
61,17.0,15.0,15,Lapped,0.0,24,2024,Abu Dhabi Grand Prix,0
20,14.0,16.0,16,Lapped,0.0,24,2024,Abu Dhabi Grand Prix,0
30,12.0,17.0,17,Retired,0.0,24,2024,Abu Dhabi Grand Prix,0
77,9.0,18.0,R,Retired,0.0,24,2024,Abu Dhabi Grand Prix,0
43,20.0,19.0,R,Retired,0.0,24,2024,Abu Dhabi Grand Prix,0
11,10.0,20.0,R,Retired,0.0,24,2024,Abu Dhabi Grand Prix,0
4,1.0,1.0,1,Finished,25.0,1,2025,Australian Grand Prix,0
1,3.0,2.0,2,Finished,18.0,1,2025,Australian Grand Prix,0
63,4.0,3.0,3,Finished,15.0,1,2025,Australian Grand Prix,0
12,16.0,4.0,4,Finished,12.0,1,2025,Australian Grand Prix,0
23,6.0,5.0,5,Finished,10.0,1,2025,Australian Grand Prix,0
18,13.0,6.0,6,Finished,8.0,1,2025,Australian Grand Prix,0
27,17.0,7.0,7,Finished,6.0,1,2025,Australian Grand Prix,0
16,7.0,8.0,8,Finished,4.0,1,2025,Australian Grand Prix,0
81,2.0,9.0,9,Finished,2.0,1,2025,Australian Grand Prix,0
44,8.0,10.0,10,Finished,1.0,1,2025,Australian Grand Prix,0
10,9.0,11.0,11,Finished,0.0,1,2025,Australian Grand Prix,0
22,5.0,12.0,12,Finished,0.0,1,2025,Australian Grand Prix,0
31,19.0,13.0,13,Finished,0.0,1,2025,Australian Grand Prix,0
87,20.0,14.0,14,Finished,0.0,1,2025,Australian Grand Prix,0
30,18.0,15.0,R,Retired,0.0,1,2025,Australian Grand Prix,0
5,15.0,16.0,R,Retired,0.0,1,2025,Australian Grand Prix,0
14,12.0,17.0,R,Retired,0.0,1,2025,Australian Grand Prix,0
55,10.0,18.0,R,Retired,0.0,1,2025,Australian Grand Prix,0
7,14.0,19.0,R,Retired,0.0,1,2025,Australian Grand Prix,0
6,11.0,20.0,R,Retired,0.0,1,2025,Australian Grand Prix,0
81,1.0,1.0,1,Finished,25.0,2,2025,Chinese Grand Prix,0
4,3.0,2.0,2,Finished,18.0,2,2025,Chinese Grand Prix,0
63,2.0,3.0,3,Finished,15.0,2,2025,Chinese Grand Prix,0
1,4.0,4.0,4,Finished,12.0,2,2025,Chinese Grand Prix,0
31,11.0,5.0,5,Finished,10.0,2,2025,Chinese Grand Prix,0
12,8.0,6.0,6,Finished,8.0,2,2025,Chinese Grand Prix,0
23,10.0,7.0,7,Finished,6.0,2,2025,Chinese Grand Prix,0
87,17.0,8.0,8,Finished,4.0,2,2025,Chinese Grand Prix,0
18,14.0,9.0,9,Finished,2.0,2,2025,Chinese Grand Prix,0
55,15.0,10.0,10,Finished,1.0,2,2025,Chinese Grand Prix,0
6,7.0,11.0,11,Finished,0.0,2,2025,Chinese Grand Prix,0
30,20.0,12.0,12,Finished,0.0,2,2025,Chinese Grand Prix,0
7,18.0,13.0,13,Finished,0.0,2,2025,Chinese Grand Prix,0
5,19.0,14.0,14,Lapped,0.0,2,2025,Chinese Grand Prix,0
27,12.0,15.0,15,Lapped,0.0,2,2025,Chinese Grand Prix,0
22,9.0,16.0,16,Lapped,0.0,2,2025,Chinese Grand Prix,0
14,13.0,17.0,R,Retired,0.0,2,2025,Chinese Grand Prix,0
16,6.0,18.0,D,Disqualified,0.0,2,2025,Chinese Grand Prix,0
44,5.0,19.0,D,Disqualified,0.0,2,2025,Chinese Grand Prix,0
10,16.0,20.0,D,Disqualified,0.0,2,2025,Chinese Grand Prix,0
1,1.0,1.0,1,Finished,25.0,3,2025,Japanese Grand Prix,0
4,2.0,2.0,2,Finished,18.0,3,2025,Japanese Grand Prix,0
81,3.0,3.0,3,Finished,15.0,3,2025,Japanese Grand Prix,0
16,4.0,4.0,4,Finished,12.0,3,2025,Japanese Grand Prix,0
63,5.0,5.0,5,Finished,10.0,3,2025,Japanese Grand Prix,0
12,6.0,6.0,6,Finished,8.0,3,2025,Japanese Grand Prix,0
44,8.0,7.0,7,Finished,6.0,3,2025,Japanese Grand Prix,0
6,7.0,8.0,8,Finished,4.0,3,2025,Japanese Grand Prix,0
23,9.0,9.0,9,Finished,2.0,3,2025,Japanese Grand Prix,0
87,10.0,10.0,10,Finished,1.0,3,2025,Japanese Grand Prix,0
14,12.0,11.0,11,Finished,0.0,3,2025,Japanese Grand Prix,0
22,14.0,12.0,12,Finished,0.0,3,2025,Japanese Grand Prix,0
10,11.0,13.0,13,Finished,0.0,3,2025,Japanese Grand Prix,0
55,15.0,14.0,14,Finished,0.0,3,2025,Japanese Grand Prix,0
7,19.0,15.0,15,Finished,0.0,3,2025,Japanese Grand Prix,0
27,16.0,16.0,16,Finished,0.0,3,2025,Japanese Grand Prix,0
30,13.0,17.0,17,Finished,0.0,3,2025,Japanese Grand Prix,0
31,18.0,18.0,18,Finished,0.0,3,2025,Japanese Grand Prix,0
5,17.0,19.0,19,Finished,0.0,3,2025,Japanese Grand Prix,0
18,20.0,20.0,20,Lapped,0.0,3,2025,Japanese Grand Prix,0
81,1.0,1.0,1,Finished,25.0,4,2025,Bahrain Grand Prix,0
63,3.0,2.0,2,Finished,18.0,4,2025,Bahrain Grand Prix,0
4,6.0,3.0,3,Finished,15.0,4,2025,Bahrain Grand Prix,0
16,2.0,4.0,4,Finished,12.0,4,2025,Bahrain Grand Prix,0
44,9.0,5.0,5,Finished,10.0,4,2025,Bahrain Grand Prix,0
1,7.0,6.0,6,Finished,8.0,4,2025,Bahrain Grand Prix,0
10,4.0,7.0,7,Finished,6.0,4,2025,Bahrain Grand Prix,0
31,14.0,8.0,8,Finished,4.0,4,2025,Bahrain Grand Prix,0
22,10.0,9.0,9,Finished,2.0,4,2025,Bahrain Grand Prix,0
87,20.0,10.0,10,Finished,1.0,4,2025,Bahrain Grand Prix,0
12,5.0,11.0,11,Finished,0.0,4,2025,Bahrain Grand Prix,0
23,15.0,12.0,12,Finished,0.0,4,2025,Bahrain Grand Prix,0
6,12.0,13.0,13,Finished,0.0,4,2025,Bahrain Grand Prix,0
7,11.0,14.0,14,Finished,0.0,4,2025,Bahrain Grand Prix,0
14,13.0,15.0,15,Finished,0.0,4,2025,Bahrain Grand Prix,0
30,17.0,16.0,16,Finished,0.0,4,2025,Bahrain Grand Prix,0
18,19.0,17.0,17,Finished,0.0,4,2025,Bahrain Grand Prix,0
5,18.0,18.0,18,Finished,0.0,4,2025,Bahrain Grand Prix,0
55,8.0,19.0,R,Retired,0.0,4,2025,Bahrain Grand Prix,0
27,16.0,20.0,D,Disqualified,0.0,4,2025,Bahrain Grand Prix,0
81,2.0,1.0,1,Finished,25.0,5,2025,Saudi Arabian Grand Prix,0
1,1.0,2.0,2,Finished,18.0,5,2025,Saudi Arabian Grand Prix,0
16,4.0,3.0,3,Finished,15.0,5,2025,Saudi Arabian Grand Prix,0
4,10.0,4.0,4,Finished,12.0,5,2025,Saudi Arabian Grand Prix,0
63,3.0,5.0,5,Finished,10.0,5,2025,Saudi Arabian Grand Prix,0
12,5.0,6.0,6,Finished,8.0,5,2025,Saudi Arabian Grand Prix,0
44,7.0,7.0,7,Finished,6.0,5,2025,Saudi Arabian Grand Prix,0
55,6.0,8.0,8,Finished,4.0,5,2025,Saudi Arabian Grand Prix,0
23,11.0,9.0,9,Finished,2.0,5,2025,Saudi Arabian Grand Prix,0
6,14.0,10.0,10,Finished,1.0,5,2025,Saudi Arabian Grand Prix,0
14,13.0,11.0,11,Finished,0.0,5,2025,Saudi Arabian Grand Prix,0
30,12.0,12.0,12,Finished,0.0,5,2025,Saudi Arabian Grand Prix,0
87,15.0,13.0,13,Finished,0.0,5,2025,Saudi Arabian Grand Prix,0
31,19.0,14.0,14,Finished,0.0,5,2025,Saudi Arabian Grand Prix,0
27,18.0,15.0,15,Lapped,0.0,5,2025,Saudi Arabian Grand Prix,0
18,16.0,16.0,16,Lapped,0.0,5,2025,Saudi Arabian Grand Prix,0
7,17.0,17.0,17,Lapped,0.0,5,2025,Saudi Arabian Grand Prix,0
5,20.0,18.0,18,Lapped,0.0,5,2025,Saudi Arabian Grand Prix,0
22,8.0,19.0,R,Retired,0.0,5,2025,Saudi Arabian Grand Prix,0
10,9.0,20.0,R,Retired,0.0,5,2025,Saudi Arabian Grand Prix,0
81,4.0,1.0,1,Finished,25.0,6,2025,Miami Grand Prix,0
4,2.0,2.0,2,Finished,18.0,6,2025,Miami Grand Prix,0
63,5.0,3.0,3,Finished,15.0,6,2025,Miami Grand Prix,0
1,1.0,4.0,4,Finished,12.0,6,2025,Miami Grand Prix,0
23,7.0,5.0,5,Finished,10.0,6,2025,Miami Grand Prix,0
12,3.0,6.0,6,Finished,8.0,6,2025,Miami Grand Prix,0
16,8.0,7.0,7,Finished,6.0,6,2025,Miami Grand Prix,0
44,12.0,8.0,8,Finished,4.0,6,2025,Miami Grand Prix,0
55,6.0,9.0,9,Finished,2.0,6,2025,Miami Grand Prix,0
22,10.0,10.0,10,Finished,1.0,6,2025,Miami Grand Prix,0
6,11.0,11.0,11,Finished,0.0,6,2025,Miami Grand Prix,0
31,9.0,12.0,12,Finished,0.0,6,2025,Miami Grand Prix,0
10,20.0,13.0,13,Finished,0.0,6,2025,Miami Grand Prix,0
27,16.0,14.0,14,Lapped,0.0,6,2025,Miami Grand Prix,0
14,17.0,15.0,15,Lapped,0.0,6,2025,Miami Grand Prix,0
18,18.0,16.0,16,Lapped,0.0,6,2025,Miami Grand Prix,0
30,15.0,17.0,R,Retired,0.0,6,2025,Miami Grand Prix,0
5,13.0,18.0,R,Retired,0.0,6,2025,Miami Grand Prix,0
87,19.0,19.0,R,Retired,0.0,6,2025,Miami Grand Prix,0
7,14.0,20.0,R,Retired,0.0,6,2025,Miami Grand Prix,0
1,2.0,1.0,1,Finished,25.0,7,2025,Emilia Romagna Grand Prix,0
4,4.0,2.0,2,Finished,18.0,7,2025,Emilia Romagna Grand Prix,0
81,1.0,3.0,3,Finished,15.0,7,2025,Emilia Romagna Grand Prix,0
44,12.0,4.0,4,Finished,12.0,7,2025,Emilia Romagna Grand Prix,0
23,7.0,5.0,5,Finished,10.0,7,2025,Emilia Romagna Grand Prix,0
16,11.0,6.0,6,Finished,8.0,7,2025,Emilia Romagna Grand Prix,0
63,3.0,7.0,7,Finished,6.0,7,2025,Emilia Romagna Grand Prix,0
55,6.0,8.0,8,Finished,4.0,7,2025,Emilia Romagna Grand Prix,0
6,9.0,9.0,9,Finished,2.0,7,2025,Emilia Romagna Grand Prix,0
22,20.0,10.0,10,Finished,1.0,7,2025,Emilia Romagna Grand Prix,0
14,5.0,11.0,11,Finished,0.0,7,2025,Emilia Romagna Grand Prix,0
27,17.0,12.0,12,Finished,0.0,7,2025,Emilia Romagna Grand Prix,0
10,10.0,13.0,13,Finished,0.0,7,2025,Emilia Romagna Grand Prix,0
30,15.0,14.0,14,Finished,0.0,7,2025,Emilia Romagna Grand Prix,0
18,8.0,15.0,15,Finished,0.0,7,2025,Emilia Romagna Grand Prix,0
43,16.0,16.0,16,Finished,0.0,7,2025,Emilia Romagna Grand Prix,0
87,19.0,17.0,17,Finished,0.0,7,2025,Emilia Romagna Grand Prix,0
5,14.0,18.0,18,Finished,0.0,7,2025,Emilia Romagna Grand Prix,0
12,13.0,19.0,R,Retired,0.0,7,2025,Emilia Romagna Grand Prix,0
31,18.0,20.0,R,Retired,0.0,7,2025,Emilia Romagna Grand Prix,0
4,1.0,1.0,1,Finished,25.0,8,2025,Monaco Grand Prix,0
16,2.0,2.0,2,Finished,18.0,8,2025,Monaco Grand Prix,0
81,3.0,3.0,3,Finished,15.0,8,2025,Monaco Grand Prix,0
1,4.0,4.0,4,Finished,12.0,8,2025,Monaco Grand Prix,0
44,7.0,5.0,5,Finished,10.0,8,2025,Monaco Grand Prix,0
6,5.0,6.0,6,Lapped,8.0,8,2025,Monaco Grand Prix,0
31,8.0,7.0,7,Lapped,6.0,8,2025,Monaco Grand Prix,0
30,9.0,8.0,8,Lapped,4.0,8,2025,Monaco Grand Prix,0
23,10.0,9.0,9,Lapped,2.0,8,2025,Monaco Grand Prix,0
55,11.0,10.0,10,Lapped,1.0,8,2025,Monaco Grand Prix,0
63,14.0,11.0,11,Lapped,0.0,8,2025,Monaco Grand Prix,0
87,20.0,12.0,12,Lapped,0.0,8,2025,Monaco Grand Prix,0
43,18.0,13.0,13,Lapped,0.0,8,2025,Monaco Grand Prix,0
5,16.0,14.0,14,Lapped,0.0,8,2025,Monaco Grand Prix,0
18,19.0,15.0,15,Lapped,0.0,8,2025,Monaco Grand Prix,0
27,13.0,16.0,16,Lapped,0.0,8,2025,Monaco Grand Prix,0
22,12.0,17.0,17,Lapped,0.0,8,2025,Monaco Grand Prix,0
12,15.0,18.0,18,Lapped,0.0,8,2025,Monaco Grand Prix,0
14,6.0,19.0,R,Retired,0.0,8,2025,Monaco Grand Prix,0
10,17.0,20.0,R,Retired,0.0,8,2025,Monaco Grand Prix,0
81,1.0,1.0,1,Finished,25.0,9,2025,Spanish Grand Prix,0
4,2.0,2.0,2,Finished,18.0,9,2025,Spanish Grand Prix,0
16,7.0,3.0,3,Finished,15.0,9,2025,Spanish Grand Prix,0
63,4.0,4.0,4,Finished,12.0,9,2025,Spanish Grand Prix,0
27,15.0,5.0,5,Finished,10.0,9,2025,Spanish Grand Prix,0
44,5.0,6.0,6,Finished,8.0,9,2025,Spanish Grand Prix,0
6,9.0,7.0,7,Finished,6.0,9,2025,Spanish Grand Prix,0
10,8.0,8.0,8,Finished,4.0,9,2025,Spanish Grand Prix,0
14,10.0,9.0,9,Finished,2.0,9,2025,Spanish Grand Prix,0
1,3.0,10.0,10,Finished,1.0,9,2025,Spanish Grand Prix,0
30,13.0,11.0,11,Finished,0.0,9,2025,Spanish Grand Prix,0
5,12.0,12.0,12,Finished,0.0,9,2025,Spanish Grand Prix,0
22,19.0,13.0,13,Finished,0.0,9,2025,Spanish Grand Prix,0
55,17.0,14.0,14,Finished,0.0,9,2025,Spanish Grand Prix,0
43,18.0,15.0,15,Finished,0.0,9,2025,Spanish Grand Prix,0
31,16.0,16.0,16,Finished,0.0,9,2025,Spanish Grand Prix,0
87,14.0,17.0,17,Finished,0.0,9,2025,Spanish Grand Prix,0
12,6.0,18.0,R,Retired,0.0,9,2025,Spanish Grand Prix,0
23,11.0,19.0,R,Retired,0.0,9,2025,Spanish Grand Prix,0
63,1.0,1.0,1,Finished,25.0,10,2025,Canadian Grand Prix,0
1,2.0,2.0,2,Finished,18.0,10,2025,Canadian Grand Prix,0
12,4.0,3.0,3,Finished,15.0,10,2025,Canadian Grand Prix,0
81,3.0,4.0,4,Finished,12.0,10,2025,Canadian Grand Prix,0
16,8.0,5.0,5,Finished,10.0,10,2025,Canadian Grand Prix,0
44,5.0,6.0,6,Finished,8.0,10,2025,Canadian Grand Prix,0
14,6.0,7.0,7,Finished,6.0,10,2025,Canadian Grand Prix,0
27,11.0,8.0,8,Finished,4.0,10,2025,Canadian Grand Prix,0
31,14.0,9.0,9,Lapped,2.0,10,2025,Canadian Grand Prix,0
55,16.0,10.0,10,Lapped,1.0,10,2025,Canadian Grand Prix,0
87,13.0,11.0,11,Lapped,0.0,10,2025,Canadian Grand Prix,0
22,18.0,12.0,12,Lapped,0.0,10,2025,Canadian Grand Prix,0
43,10.0,13.0,13,Lapped,0.0,10,2025,Canadian Grand Prix,0
5,15.0,14.0,14,Lapped,0.0,10,2025,Canadian Grand Prix,0
10,20.0,15.0,15,Lapped,0.0,10,2025,Canadian Grand Prix,0
6,12.0,16.0,16,Lapped,0.0,10,2025,Canadian Grand Prix,0
18,17.0,17.0,17,Lapped,0.0,10,2025,Canadian Grand Prix,0
4,7.0,18.0,18,Retired,0.0,10,2025,Canadian Grand Prix,0
30,19.0,19.0,R,Retired,0.0,10,2025,Canadian Grand Prix,0
23,9.0,20.0,R,Retired,0.0,10,2025,Canadian Grand Prix,0
4,1.0,1.0,1,Finished,25.0,11,2025,Austrian Grand Prix,0
81,3.0,2.0,2,Finished,18.0,11,2025,Austrian Grand Prix,0
16,2.0,3.0,3,Finished,15.0,11,2025,Austrian Grand Prix,0
44,4.0,4.0,4,Finished,12.0,11,2025,Austrian Grand Prix,0
63,5.0,5.0,5,Finished,10.0,11,2025,Austrian Grand Prix,0
30,6.0,6.0,6,Finished,8.0,11,2025,Austrian Grand Prix,0
14,11.0,7.0,7,Lapped,6.0,11,2025,Austrian Grand Prix,0
5,8.0,8.0,8,Lapped,4.0,11,2025,Austrian Grand Prix,0
27,20.0,9.0,9,Lapped,2.0,11,2025,Austrian Grand Prix,0
31,17.0,10.0,10,Lapped,1.0,11,2025,Austrian Grand Prix,0
87,15.0,11.0,11,Lapped,0.0,11,2025,Austrian Grand Prix,0
6,13.0,12.0,12,Lapped,0.0,11,2025,Austrian Grand Prix,0
10,10.0,13.0,13,Lapped,0.0,11,2025,Austrian Grand Prix,0
18,16.0,14.0,14,Lapped,0.0,11,2025,Austrian Grand Prix,0
43,14.0,15.0,15,Lapped,0.0,11,2025,Austrian Grand Prix,0
22,18.0,16.0,16,Lapped,0.0,11,2025,Austrian Grand Prix,0
23,12.0,17.0,R,Retired,0.0,11,2025,Austrian Grand Prix,0
1,7.0,18.0,R,Retired,0.0,11,2025,Austrian Grand Prix,0
12,9.0,19.0,R,Retired,0.0,11,2025,Austrian Grand Prix,0
55,19.0,20.0,W,Did not start,0.0,11,2025,Austrian Grand Prix,0
4,3.0,1.0,1,Finished,25.0,12,2025,British Grand Prix,0
81,2.0,2.0,2,Finished,18.0,12,2025,British Grand Prix,0
27,19.0,3.0,3,Finished,15.0,12,2025,British Grand Prix,0
44,5.0,4.0,4,Finished,12.0,12,2025,British Grand Prix,0
1,1.0,5.0,5,Finished,10.0,12,2025,British Grand Prix,0
10,8.0,6.0,6,Finished,8.0,12,2025,British Grand Prix,0
18,17.0,7.0,7,Finished,6.0,12,2025,British Grand Prix,0
23,13.0,8.0,8,Finished,4.0,12,2025,British Grand Prix,0
14,7.0,9.0,9,Finished,2.0,12,2025,British Grand Prix,0
63,4.0,10.0,10,Finished,1.0,12,2025,British Grand Prix,0
87,18.0,11.0,11,Finished,0.0,12,2025,British Grand Prix,0
55,9.0,12.0,12,Finished,0.0,12,2025,British Grand Prix,0
31,14.0,13.0,13,Finished,0.0,12,2025,British Grand Prix,0
16,6.0,14.0,14,Finished,0.0,12,2025,British Grand Prix,0
22,11.0,15.0,15,Lapped,0.0,12,2025,British Grand Prix,0
12,10.0,16.0,R,Retired,0.0,12,2025,British Grand Prix,0
6,12.0,17.0,R,Retired,0.0,12,2025,British Grand Prix,0
5,16.0,18.0,R,Retired,0.0,12,2025,British Grand Prix,0
30,15.0,19.0,R,Retired,0.0,12,2025,British Grand Prix,0
43,20.0,20.0,W,Did not start,0.0,12,2025,British Grand Prix,0
81,2.0,1.0,1,Finished,25.0,13,2025,Belgian Grand Prix,0
4,1.0,2.0,2,Finished,18.0,13,2025,Belgian Grand Prix,0
16,3.0,3.0,3,Finished,15.0,13,2025,Belgian Grand Prix,0
1,4.0,4.0,4,Finished,12.0,13,2025,Belgian Grand Prix,0
63,6.0,5.0,5,Finished,10.0,13,2025,Belgian Grand Prix,0
23,5.0,6.0,6,Finished,8.0,13,2025,Belgian Grand Prix,0
44,18.0,7.0,7,Finished,6.0,13,2025,Belgian Grand Prix,0
30,9.0,8.0,8,Finished,4.0,13,2025,Belgian Grand Prix,0
5,10.0,9.0,9,Finished,2.0,13,2025,Belgian Grand Prix,0
10,13.0,10.0,10,Finished,1.0,13,2025,Belgian Grand Prix,0
87,12.0,11.0,11,Finished,0.0,13,2025,Belgian Grand Prix,0
27,14.0,12.0,12,Finished,0.0,13,2025,Belgian Grand Prix,0
22,7.0,13.0,13,Finished,0.0,13,2025,Belgian Grand Prix,0
18,16.0,14.0,14,Finished,0.0,13,2025,Belgian Grand Prix,0
31,11.0,15.0,15,Finished,0.0,13,2025,Belgian Grand Prix,0
12,19.0,16.0,16,Finished,0.0,13,2025,Belgian Grand Prix,0
14,20.0,17.0,17,Finished,0.0,13,2025,Belgian Grand Prix,0
55,17.0,18.0,18,Finished,0.0,13,2025,Belgian Grand Prix,0
43,15.0,19.0,19,Finished,0.0,13,2025,Belgian Grand Prix,0
6,8.0,20.0,20,Lapped,0.0,13,2025,Belgian Grand Prix,0
4,3.0,1.0,1,Finished,25.0,14,2025,Hungarian Grand Prix,0
81,2.0,2.0,2,Finished,18.0,14,2025,Hungarian Grand Prix,0
63,4.0,3.0,3,Finished,15.0,14,2025,Hungarian Grand Prix,0
16,1.0,4.0,4,Finished,12.0,14,2025,Hungarian Grand Prix,0
14,5.0,5.0,5,Finished,10.0,14,2025,Hungarian Grand Prix,0
5,7.0,6.0,6,Finished,8.0,14,2025,Hungarian Grand Prix,0
18,6.0,7.0,7,Finished,6.0,14,2025,Hungarian Grand Prix,0
30,9.0,8.0,8,Finished,4.0,14,2025,Hungarian Grand Prix,0
1,8.0,9.0,9,Finished,2.0,14,2025,Hungarian Grand Prix,0
12,15.0,10.0,10,Lapped,1.0,14,2025,Hungarian Grand Prix,0
6,10.0,11.0,11,Lapped,0.0,14,2025,Hungarian Grand Prix,0
44,12.0,12.0,12,Lapped,0.0,14,2025,Hungarian Grand Prix,0
27,18.0,13.0,13,Lapped,0.0,14,2025,Hungarian Grand Prix,0
55,13.0,14.0,14,Lapped,0.0,14,2025,Hungarian Grand Prix,0
23,19.0,15.0,15,Lapped,0.0,14,2025,Hungarian Grand Prix,0
31,17.0,16.0,16,Lapped,0.0,14,2025,Hungarian Grand Prix,0
22,20.0,17.0,17,Lapped,0.0,14,2025,Hungarian Grand Prix,0
43,14.0,18.0,18,Lapped,0.0,14,2025,Hungarian Grand Prix,0
10,16.0,19.0,19,Lapped,0.0,14,2025,Hungarian Grand Prix,0
87,11.0,20.0,R,Retired,0.0,14,2025,Hungarian Grand Prix,0
81,1.0,1.0,1,Finished,25.0,15,2025,Dutch Grand Prix,0
1,3.0,2.0,2,Finished,18.0,15,2025,Dutch Grand Prix,0
6,4.0,3.0,3,Finished,15.0,15,2025,Dutch Grand Prix,0
63,5.0,4.0,4,Finished,12.0,15,2025,Dutch Grand Prix,0
23,15.0,5.0,5,Finished,10.0,15,2025,Dutch Grand Prix,0
87,20.0,6.0,6,Finished,8.0,15,2025,Dutch Grand Prix,0
18,19.0,7.0,7,Finished,6.0,15,2025,Dutch Grand Prix,0
14,10.0,8.0,8,Finished,4.0,15,2025,Dutch Grand Prix,0
22,12.0,9.0,9,Finished,2.0,15,2025,Dutch Grand Prix,0
31,18.0,10.0,10,Finished,1.0,15,2025,Dutch Grand Prix,0
43,16.0,11.0,11,Finished,0.0,15,2025,Dutch Grand Prix,0
30,8.0,12.0,12,Finished,0.0,15,2025,Dutch Grand Prix,0
55,9.0,13.0,13,Finished,0.0,15,2025,Dutch Grand Prix,0
27,17.0,14.0,14,Finished,0.0,15,2025,Dutch Grand Prix,0
5,13.0,15.0,15,Finished,0.0,15,2025,Dutch Grand Prix,0
12,11.0,16.0,16,Finished,0.0,15,2025,Dutch Grand Prix,0
10,14.0,17.0,17,Finished,0.0,15,2025,Dutch Grand Prix,0
4,2.0,18.0,18,Retired,0.0,15,2025,Dutch Grand Prix,0
16,6.0,19.0,R,Retired,0.0,15,2025,Dutch Grand Prix,0
44,7.0,20.0,R,Retired,0.0,15,2025,Dutch Grand Prix,0
1,1.0,1.0,1,Finished,25.0,16,2025,Italian Grand Prix,0
4,2.0,2.0,2,Finished,18.0,16,2025,Italian Grand Prix,0
81,3.0,3.0,3,Finished,15.0,16,2025,Italian Grand Prix,0
16,4.0,4.0,4,Finished,12.0,16,2025,Italian Grand Prix,0
63,5.0,5.0,5,Finished,10.0,16,2025,Italian Grand Prix,0
44,10.0,6.0,6,Finished,8.0,16,2025,Italian Grand Prix,0
23,14.0,7.0,7,Finished,6.0,16,2025,Italian Grand Prix,0
5,7.0,8.0,8,Finished,4.0,16,2025,Italian Grand Prix,0
12,6.0,9.0,9,Finished,2.0,16,2025,Italian Grand Prix,0
6,19.0,10.0,10,Finished,1.0,16,2025,Italian Grand Prix,0
55,13.0,11.0,11,Finished,0.0,16,2025,Italian Grand Prix,0
87,11.0,12.0,12,Finished,0.0,16,2025,Italian Grand Prix,0
22,9.0,13.0,13,Finished,0.0,16,2025,Italian Grand Prix,0
30,18.0,14.0,14,Finished,0.0,16,2025,Italian Grand Prix,0
31,15.0,15.0,15,Lapped,0.0,16,2025,Italian Grand Prix,0
10,20.0,16.0,16,Lapped,0.0,16,2025,Italian Grand Prix,0
43,17.0,17.0,17,Lapped,0.0,16,2025,Italian Grand Prix,0
18,16.0,18.0,18,Lapped,0.0,16,2025,Italian Grand Prix,0
14,8.0,19.0,R,Retired,0.0,16,2025,Italian Grand Prix,0
27,12.0,20.0,W,Did not start,0.0,16,2025,Italian Grand Prix,0
1,1.0,1.0,1,Finished,25.0,17,2025,Azerbaijan Grand Prix,0
63,5.0,2.0,2,Finished,18.0,17,2025,Azerbaijan Grand Prix,0
55,2.0,3.0,3,Finished,15.0,17,2025,Azerbaijan Grand Prix,0
12,4.0,4.0,4,Finished,12.0,17,2025,Azerbaijan Grand Prix,0
30,3.0,5.0,5,Finished,10.0,17,2025,Azerbaijan Grand Prix,0
22,6.0,6.0,6,Finished,8.0,17,2025,Azerbaijan Grand Prix,0
4,7.0,7.0,7,Finished,6.0,17,2025,Azerbaijan Grand Prix,0
44,12.0,8.0,8,Finished,4.0,17,2025,Azerbaijan Grand Prix,0
16,10.0,9.0,9,Finished,2.0,17,2025,Azerbaijan Grand Prix,0
6,8.0,10.0,10,Finished,1.0,17,2025,Azerbaijan Grand Prix,0
5,13.0,11.0,11,Finished,0.0,17,2025,Azerbaijan Grand Prix,0
87,15.0,12.0,12,Finished,0.0,17,2025,Azerbaijan Grand Prix,0
23,19.0,13.0,13,Finished,0.0,17,2025,Azerbaijan Grand Prix,0
31,20.0,14.0,14,Finished,0.0,17,2025,Azerbaijan Grand Prix,0
14,11.0,15.0,15,Finished,0.0,17,2025,Azerbaijan Grand Prix,0
27,17.0,16.0,16,Finished,0.0,17,2025,Azerbaijan Grand Prix,0
18,14.0,17.0,17,Finished,0.0,17,2025,Azerbaijan Grand Prix,0
10,18.0,18.0,18,Lapped,0.0,17,2025,Azerbaijan Grand Prix,0
43,16.0,19.0,19,Lapped,0.0,17,2025,Azerbaijan Grand Prix,0
81,9.0,20.0,R,Retired,0.0,17,2025,Azerbaijan Grand Prix,0
63,1.0,1.0,1,Finished,25.0,18,2025,Singapore Grand Prix,0
