DriverNumber,GridPosition,Position,ClassifiedPosition,Status,Points,Round,Season,EventName,Winner
63,1.0,1.0,1,Finished,25.0,1,2026,Australian Grand Prix,0
12,2.0,2.0,2,Finished,18.0,1,2026,Australian Grand Prix,0
16,4.0,3.0,3,Finished,15.0,1,2026,Australian Grand Prix,0
44,7.0,4.0,4,Finished,12.0,1,2026,Australian Grand Prix,0
1,6.0,5.0,5,Finished,10.0,1,2026,Australian Grand Prix,0
3,20.0,6.0,6,Finished,8.0,1,2026,Australian Grand Prix,0
87,12.0,7.0,7,Lapped,6.0,1,2026,Australian Grand Prix,0
41,9.0,8.0,8,Lapped,4.0,1,2026,Australian Grand Prix,0
5,10.0,9.0,9,Lapped,2.0,1,2026,Australian Grand Prix,0
10,14.0,10.0,10,Lapped,1.0,1,2026,Australian Grand Prix,0
31,13.0,11.0,11,Lapped,0.0,1,2026,Australian Grand Prix,0
23,15.0,12.0,12,Lapped,0.0,1,2026,Australian Grand Prix,0
30,8.0,13.0,13,Lapped,0.0,1,2026,Australian Grand Prix,0
43,16.0,14.0,14,Lapped,0.0,1,2026,Australian Grand Prix,0
55,21.0,15.0,15,Lapped,0.0,1,2026,Australian Grand Prix,0
11,18.0,16.0,16,Lapped,0.0,1,2026,Australian Grand Prix,0
18,22.0,17.0,R,Lapped,0.0,1,2026,Australian Grand Prix,0
14,17.0,18.0,R,Retired,0.0,1,2026,Australian Grand Prix,0
77,19.0,19.0,R,Retired,0.0,1,2026,Australian Grand Prix,0
6,3.0,20.0,R,Retired,0.0,1,2026,Australian Grand Prix,0
81,5.0,21.0,W,Did not start,0.0,1,2026,Australian Grand Prix,0
27,11.0,22.0,W,Did not start,0.0,1,2026,Australian Grand Prix,0
12,1.0,1.0,1,Finished,25.0,2,2026,Chinese Grand Prix,0
63,2.0,2.0,2,Finished,18.0,2,2026,Chinese Grand Prix,0
44,3.0,3.0,3,Finished,15.0,2,2026,Chinese Grand Prix,0
16,4.0,4.0,4,Finished,12.0,2,2026,Chinese Grand Prix,0
87,10.0,5.0,5,Finished,10.0,2,2026,Chinese Grand Prix,0
10,7.0,6.0,6,Finished,8.0,2,2026,Chinese Grand Prix,0
30,14.0,7.0,7,Finished,6.0,2,2026,Chinese Grand Prix,0
6,9.0,8.0,8,Finished,4.0,2,2026,Chinese Grand Prix,0
55,17.0,9.0,9,Lapped,2.0,2,2026,Chinese Grand Prix,0
43,12.0,10.0,10,Lapped,1.0,2,2026,Chinese Grand Prix,0
27,11.0,11.0,11,Lapped,0.0,2,2026,Chinese Grand Prix,0
41,15.0,12.0,12,Lapped,0.0,2,2026,Chinese Grand Prix,0
77,19.0,13.0,13,Lapped,0.0,2,2026,Chinese Grand Prix,0
31,13.0,14.0,14,Lapped,0.0,2,2026,Chinese Grand Prix,0
11,21.0,15.0,15,Lapped,0.0,2,2026,Chinese Grand Prix,0
3,8.0,16.0,R,Retired,0.0,2,2026,Chinese Grand Prix,0
14,18.0,17.0,R,Retired,0.0,2,2026,Chinese Grand Prix,0
18,20.0,18.0,R,Retired,0.0,2,2026,Chinese Grand Prix,0
81,5.0,19.0,W,Did not start,0.0,2,2026,Chinese Grand Prix,0
1,6.0,20.0,W,Did not start,0.0,2,2026,Chinese Grand Prix,0
5,16.0,21.0,W,Did not start,0.0,2,2026,Chinese Grand Prix,0
23,22.0,22.0,W,Did not start,0.0,2,2026,Chinese Grand Prix,0
12,1.0,1.0,1,Finished,25.0,3,2026,Japanese Grand Prix,0
81,3.0,2.0,2,Finished,18.0,3,2026,Japanese Grand Prix,0
16,4.0,3.0,3,Finished,15.0,3,2026,Japanese Grand Prix,0
63,2.0,4.0,4,Finished,12.0,3,2026,Japanese Grand Prix,0
1,5.0,5.0,5,Finished,10.0,3,2026,Japanese Grand Prix,0
44,6.0,6.0,6,Finished,8.0,3,2026,Japanese Grand Prix,0
10,7.0,7.0,7,Finished,6.0,3,2026,Japanese Grand Prix,0
3,11.0,8.0,8,Finished,4.0,3,2026,Japanese Grand Prix,0
30,14.0,9.0,9,Finished,2.0,3,2026,Japanese Grand Prix,0
31,12.0,10.0,10,Finished,1.0,3,2026,Japanese Grand Prix,0
27,13.0,11.0,11,Finished,0.0,3,2026,Japanese Grand Prix,0
6,8.0,12.0,12,Finished,0.0,3,2026,Japanese Grand Prix,0
5,9.0,13.0,13,Finished,0.0,3,2026,Japanese Grand Prix,0
41,10.0,14.0,14,Finished,0.0,3,2026,Japanese Grand Prix,0
55,16.0,15.0,15,Finished,0.0,3,2026,Japanese Grand Prix,0
43,15.0,16.0,16,Finished,0.0,3,2026,Japanese Grand Prix,0
11,19.0,17.0,17,Finished,0.0,3,2026,Japanese Grand Prix,0
14,21.0,18.0,18,Lapped,0.0,3,2026,Japanese Grand Prix,0
77,20.0,19.0,19,Lapped,0.0,3,2026,Japanese Grand Prix,0
23,17.0,20.0,20,Lapped,0.0,3,2026,Japanese Grand Prix,0
18,22.0,21.0,R,Retired,0.0,3,2026,Japanese Grand Prix,0
87,18.0,22.0,R,Retired,0.0,3,2026,Japanese Grand Prix,0
